field_1,Lat.y.y,Long.y.y,Community1,Region,District,Community,Village_HH,Village_ODFHist,Village_GC,rvalue_1
1,-1.300938416,5.214404,Asebu,Central,Abura / Asebu / Kwamankese,Abaasa,101,0,U,3
2,-1.264589743,5.220816,Asebu,Central,Abura / Asebu / Kwamankese,Abuenu,120,0,U,1
3,-1.235474773,5.339507,Abakrampa ,Central,Abura / Asebu / Kwamankese,Adabo No. 1 ,8,0,U,2
4,-1.236590074,5.34075,Abakrampa ,Central,Abura / Asebu / Kwamankese,Adabo No. 2,8,0,U,2
5,-1.25559434,5.304809,Abakrampa,Central,Abura / Asebu / Kwamankese,Agric Quarters,12,0,U,2
6,-1.278955171,5.301231,Abakrampa ,Central,Abura / Asebu / Kwamankese,Ahenkrom,42,0,U,1
7,-1.118839795,5.368995,Ayeldu ,Central,Abura / Asebu / Kwamankese,Akesegua,35,0,U,1
8,-1.093934107,5.285716,Abura Etsifi ,Central,Abura / Asebu / Kwamankese,Ansafona,84,0,U,2
9,-1.187447925,5.384026,Nsuta,Central,Abura / Asebu / Kwamankese,Asaaman ,16,0,U,1
10,-1.246012872,5.343612,Abakrampa ,Central,Abura / Asebu / Kwamankese,Asebufokrom,34,0,U,2
11,-1.248069315,5.245015,Abakrampa,Central,Abura / Asebu / Kwamankese,Asemasa,85,0,U,3
12,-1.284441642,5.334436,Abakrampa ,Central,Abura / Asebu / Kwamankese,Asomdwee,150,0,U,1
13,-1.137413686,5.338767,Ayeldu ,Central,Abura / Asebu / Kwamankese,Bosomi,89,0,U,3
14,-1.138070226,5.281649,Abura Etsifi ,Central,Abura / Asebu / Kwamankese,Efiefi,14,0,U,1
15,-1.115787293,5.273779,Abura Etsifi ,Central,Abura / Asebu / Kwamankese,Egotsiakokodo,74,0,U,3
16,-1.270955513,5.201595,Asebu ,Central,Abura / Asebu / Kwamankese,Fawomanye,14,0,U,3
17,-1.219136583,5.325897,Abakrampa ,Central,Abura / Asebu / Kwamankese,Fortwekrom,17,0,U,1
18,-1.14274002,5.371644,Abura Dunkwa,Central,Abura / Asebu / Kwamankese,Idunkrom / Onsonyame,15,0,U,3
19,-1.179635911,5.295289,Abakrampa,Central,Abura / Asebu / Kwamankese,Kofi Egyirakrom,150,0,U,3
